# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
30	-0.0071281889746094	5.267528522257e-40	4.7398013871384e-61	2.9980332723393e-20	8.8486360086733e-19	3.806638987448e-21	2.5465972677622e-07	0.011047724573616
30.2	0.15314818363281	9.675575815676e-39	2.7392014023747e-61	3.7311525385511e-20	1.1216772187494e-18	4.7354596061624e-21	2.4321356837064e-07	0.011024101324468
30.48	-0.007121445078125	2.9888393399293e-38	1.2961271069395e-61	5.2809560468958e-20	1.2717769284858e-18	7.0211631501562e-21	2.2944749553299e-07	0.011036516991013
30.872	-0.007127867109375	9.1256153173445e-40	4.6643462068046e-62	3.9727333244013e-20	1.0827755269205e-18	5.1902585562021e-21	2.1152799112346e-07	0.011047596571027
31	-0.00712939625	3.4622213858282e-40	3.2850735460183e-62	3.5533720299452e-20	1.0181681786333e-18	4.6071665539535e-21	2.0598067556918e-07	0.011050221306084
31.2	0.14366845758789	5.6933950046705e-38	1.9006505927761e-62	4.2761921999195e-20	1.2632750873424e-18	5.5092834182418e-21	1.9676232969497e-07	0.011028295544256
31.48	-0.007123352648112	3.2777773236968e-38	9.003415690604e-63	5.1239219057357e-20	1.3513358705557e-18	6.7613862296387e-21	1.856262399269e-07	0.011040252720204
31.872	-0.0071295684130859	1.8709322516641e-39	3.2442582931596e-63	3.729924499694e-20	1.1317798441943e-18	4.8266024686757e-21	1.7112912232923e-07	0.011050937345115
32	-0.0071310514713542	7.5463827644536e-40	2.2859866180324e-63	3.3061777066107e-20	1.0584135823784e-18	4.2448579108114e-21	1.6664136151026e-07	0.011053471684442
32.2	0.14051709761393	1.1752364687863e-38	1.323733846032e-63	3.8364462913484e-20	1.2727536796868e-18	4.8990911701874e-21	1.5918898038428e-07	0.011031957834016
32.48	-0.0071250617008464	1.4851459041575e-38	6.2769000674929e-64	4.4591496027539e-20	1.3144806660988e-18	5.8552120228426e-21	1.5017992596356e-07	0.011043622655501
32.872	-0.007131147117513	1.0209109732895e-38	2.2647302318914e-64	3.2409656192136e-20	1.0818862170428e-18	4.1853943840911e-21	1.3845203732525e-07	0.01105406003444
33	-0.0071325948372396	4.274621433938e-39	1.5965340124942e-64	2.8757403087727e-20	1.0070423644233e-18	3.6879440330062e-21	1.3482158019904e-07	0.011056538909656
33.2	0.13603536350911	5.0419332667524e-39	9.2533703144907e-65	3.3252600595305e-20	1.18294665146e-18	4.2509419120327e-21	1.2880295226778e-07	0.011035709085461
33.48	-0.0071267991666667	8.9174192854201e-38	4.3922958439406e-65	3.7948868792509e-20	1.1947556867908e-18	4.9832626109028e-21	1.2151472815925e-07	0.011047049629096
33.872	-0.0071327401595052	1.6365990817045e-38	1.5868099893331e-65	2.7737804724215e-20	9.7748356313496e-19	3.5842982646982e-21	1.1202681831595e-07	0.011057212360376
34	-0.0071341541878255	8.6050102301881e-39	1.1191535124797e-65	2.4667083864889e-20	9.0877384693466e-19	3.1659104203211e-21	1.0908979177345e-07	0.011059629522832
34.2	0.13744126879395	3.9667078674522e-38	6.4907082415533e-66	2.8966173242673e-20	1.0689658023735e-18	3.7101823202137e-21	1.0421129260822e-07	0.011038471324243
34.48	-0.0071281608235677	4.4730595383687e-38	3.0838473346742e-66	3.4640907496801e-20	1.0901874796412e-18	4.5835000847559e-21	9.8315364768094e-08	0.011049818191997
34.872	-0.0071341131217448	1.1994913034107e-38	1.1155465047289e-66	2.5789267176514e-20	8.977823679904e-19	3.3601374015738e-21	9.0640563031612e-08	0.011059992661708
35	-0.0071355322786458	5.7229770208948e-39	7.8714601333281e-67	2.3062023510629e-20	8.3674355369179e-19	2.9847032332816e-21	8.8264804046573e-08	0.011062413863126
35.2	0.12485873377604	3.7187049005797e-39	4.5709640113017e-67	2.6499839760049e-20	9.669011577438e-19	3.415067315777e-21	8.4346732247169e-08	0.011043397953242
35.48	-0.007130350390625	3.9903324137258e-39	2.1742312587242e-67	2.8170936681692e-20	9.516158986679e-19	3.6878703696505e-21	7.9576842601121e-08	0.011054029444256
35.872	-0.0071359662239583	3.0891083884007e-39	7.8751867431767e-68	2.0500062610552e-20	7.7853981294277e-19	2.6369177146648e-21	7.3366597097422e-08	0.011063589675144
36	-0.0071373074414062	1.0828845696483e-39	5.5594362924636e-68	1.821728048351e-20	7.2387598370758e-19	2.3269564636578e-21	7.1444194639616e-08	0.011065871106368
36.2	0.12533719408366	9.3716372072201e-39	3.2305809823913e-68	2.0654756396398e-20	8.2852705233577e-19	2.6308776045636e-21	6.8270134974764e-08	0.011046588737572
36.48	-0.0071318721565755	9.0662830936814e-39	1.5381260802456e-68	2.2618720663453e-20	8.1079957910895e-19	2.9573451640501e-21	6.4410497603278e-08	0.011057079167939
36.872	-0.0071374333723958	7.8994321180002e-40	5.5783592761193e-69	1.6792715689498e-20	6.6089955678915e-19	2.1669261947552e-21	5.9385568579293e-08	0.011066524945052
37	-0.0071387606640625	4.4353149306341e-40	3.9398393208207e-69	1.5040248645706e-20	6.1433761329714e-19	1.9295918116706e-21	5.7830078286082e-08	0.01106878190233
37.2	0.1129079104541	8.4568184920472e-40	2.2923140925685e-69	1.6936481013497e-20	6.8724360710156e-19	2.1689392882745e-21	5.5280871781242e-08	0.01105158094729
37.48	-0.0071340962386068	7.7412160332149e-40	1.0926475257496e-69	1.7222693387029e-20	6.5489666613075e-19	2.2358817495685e-21	5.2157403491973e-08	0.011061333802355
37.872	-0.0071393095719401	1.7777244448224e-39	3.9678325875091e-70	1.2667831659045e-20	5.3244153605194e-19	1.6192570143334e-21	4.8090010275181e-08	0.011070147884122
38	-0.007140553758138	7.6154724533429e-40	2.8036712346576e-70	1.1314859675022e-20	4.9458571894928e-19	1.4373108133967e-21	4.6830918312374e-08	0.011072261452711
38.2	0.10726121605469	8.3985683762006e-40	1.6328153994656e-70	1.246233157782e-20	5.4505575056765e-19	1.5795688607336e-21	4.4773882811307e-08	0.011055836169203
38.48	-0.0071360440136719	3.0754030362912e-39	7.7910132584809e-71	1.2405329681089e-20	5.1154653214905e-19	1.5962995508083e-21	4.2245387545768e-08	0.011065095239141
38.872	-0.0071410218815104	1.3006180075346e-39	2.8328598421755e-71	9.1911346519406e-21	4.1376785101685e-19	1.168320340352e-21	3.8952442530203e-08	0.011073490113982
